C¢digo municipio; Nombre municipio; C¢digo Establecimiento; Nombre Establecimiento; C¢digo Sede; Nombre Sede; Zona; Direcci¢n; TelÇfono
76246;EL CAIRO;176246000337;IE LA PRESENTACION;276246000641;SEDE RICARDO NIETO;RURAL;VDA. EL JARD÷N;
76246;EL CAIRO;176246000663;IE GILBERTO ALZATE AVENDA•O;276246000536;GILBERTO ALZATE AVENDA•O - ALBAN;RURAL;CORREG ALBAN;2077156
76246;EL CAIRO;176246000663;IE GILBERTO ALZATE AVENDA•O;176246000698;PARAISO DE LOS NI•OS;RURAL;CRA 4 CLL 11 ESQUINA;2077156
76248;EL CERRITO;276248000363;IE SANTA ELENA;276248000428;EDUARDO RIASCOS GRUESO;RURAL;VDA CAMPO ALEGRE;
76248;EL CERRITO;276248000321;IE HERNANDO BORRERO CUADROS;276248000088;MERCEDES ABREGO;RURAL;VDA REGADEROS;2562440
76248;EL CERRITO;176248000016;IE SAGRADO CORAZ‡N;176248000466;EDUARDO CABAL MOLINA;URBANA;CAR 11B NO 10-17;2565537
76250;EL DOVIO;176250000261;IE JOSE MARIA FALLA;176250000295;JOSE JOAQUIN JARAMILLO;URBANA;CLL 5 NO 4-32;2229184
76250;EL DOVIO;176250000261;IE JOSE MARIA FALLA;276250000044;BENJAMIN PEREA;RURAL;VDA LA MARIA;2229184
76250;EL DOVIO;276250000150;IE ACERG;276250000117;SIMON BOLIVAR;RURAL;VDA LA VIRGINIA;3136593903
76250;EL DOVIO;276250000150;IE ACERG;276250000311;ROSA SARATE DE PE•A;RURAL;VDA LOS ZAINOS;3136593903
76250;EL DOVIO;276250000150;IE ACERG;276250000711;ANTONIO NARI•O;RURAL;VDA BALCANES BAJO;3136593903
76250;EL DOVIO;276250000150;IE ACERG;276250000770;TERESITA GRAJALES;RURAL;VDA BIRMANIA;3136593903
76250;EL DOVIO;276250000150;IE ACERG;276250000869;NUESTRA SE•ORA DEL CARMEN;RURAL;VDA. EL PEDRAL;313 659 39 03
76233;DAGUA;276275001461;IE IDEBIC;276233001070;INDIO AGUALONGO;RURAL;COMUNID EL HORMIGUERO CABILDO DE ASENTAMIENTO INDIGENA ;2638651
76250;EL DOVIO;276275001461;IE IDEBIC;276250000575;CACIQUE CALARCA;RURAL;COMUNID LA CAPILLA RGDO RIO GARRAPATAS;2638651
76275;FLORIDA;276275001461;IE IDEBIC;276275000031;MARCO FIDEL SUAREZ;RURAL;COMUNIDAD INDIGENA DE LA CUMBRE;2638651
